constituency,ward,polling_station
GARSEN,GARSEN CENTRAL,DANISA  PRIMARY SCHOOL
GARSEN,GARSEN CENTRAL,ONKOLDE  PRIMARY SCHOOL
GARSEN,GARSEN CENTRAL,KONE MAMO CENTER
GARSEN,GARSEN CENTRAL,GALILI  PRIMARY SCHOOL
GARSEN,GARSEN CENTRAL,GOMESA VILLAGE
GARSEN,GARSEN CENTRAL,DIBE PRIMARY SCHOOL
GARSEN,GARSEN CENTRAL,KIPAO  PRIMARY SCHOOL
GARSEN,GARSEN CENTRAL,MSWAKINI NURSERY  SCHOOL
GARSEN,GARSEN CENTRAL,WALKON VILLAGE
GARSEN,GARSEN CENTRAL,KIPAO SECONDARY SCHOOL
GARSEN,GARSEN CENTRAL,KIJO NURSERY SCHOOL
GARSEN,GARSEN CENTRAL,BALO NURSERY SCHOOL
GARSEN,GARSEN NORTH,GADENI  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,REUBEN MWEWE  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,KULESA  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,MAZIWA  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,MAREMBO  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,LAZIMA  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,SERA  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,KUROLE CENTRE
GARSEN,GARSEN NORTH,MWINA  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,NGUMU NURSERY SCHOOL
GARSEN,GARSEN NORTH,BUBESA  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,KINYADU  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,MMBUJI  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,MNAZINI  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,KITERE  PRIMARY SCHOOL
GARSEN,GARSEN NORTH,CHOA NURSERY SCHOOL
GARSEN,GARSEN NORTH,BAOMO PRIMARY SCHOOL
GARSEN,GARSEN NORTH,GALMA PRIMARY SCHOOL
GARSEN,GARSEN NORTH,KITERE SECONDARY SCHOOL
GARSEN,GARSEN NORTH,GADENI SECONDSRY SCHOOL
GARSEN,GARSEN SOUTH,IDSOWE  PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,MINJILA NURSERY SCHOOL
GARSEN,GARSEN SOUTH,DIDAADE  PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,KIBUSU  PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,DALU  PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,TARASAA SECONDARY SCHOOL
GARSEN,GARSEN SOUTH,TARASAA  PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,HIARI COMMUNITY HALL
GARSEN,GARSEN SOUTH,ARAP MOI  PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,NGAO SOCIAL HALL
GARSEN,GARSEN SOUTH,GOLBANTI  PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,FURAHA  PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,BURA KOFIRA  PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,ON-WARDEI PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,GUBANI NURSERY SCHOOL
GARSEN,GARSEN SOUTH,ODA SECONDARY SCHOOL
GARSEN,GARSEN SOUTH,DALU SECONDARY SCHOOL
GARSEN,GARSEN SOUTH,USHINDI PRIMARY SCHOOL
GARSEN,GARSEN SOUTH,RAMADA PRIMARY SCHOOL
